Job_ID,Job_Title,Company,Location,Country,Experience_Level,Employment_Type,Work_Mode,Salary_Min,Salary_Max,Salary_Currency,Posted_Date,Industry,Company_Size,Python,SQL,Power_BI,Excel,Tableau,Machine_Learning,Deep_Learning,TensorFlow,PyTorch,AWS,Azure,GCP,Statistics,NLP,Generative_AI,Years_Experience,Education,Job_Description,Average_Salary,Skill_Count
JOB11926,Data Analyst,JPMorgan Chase,Bangalore,USA,Lead,Full Time,Hybrid,780000,950000,USD,2026-05-19,Telecommunications,501-1000,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,12,Bachelor's,"Seeking a Data Analyst to support Telecommunications projects. Key skills include SQL, Excel, TensorFlow, AWS, NLP. Hybrid role with lead experience requirements.",865000,5
JOB11700,Ai Engineer,Walmart Global Tech,Kolkata,India,Mid Level,Internship,Remote,1030000,1290000,INR,2026-05-23,Finance,1000+,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,2,Bachelor's,"Seeking a AI Engineer to support Finance projects. Key skills include Python, Excel, Machine Learning, NLP, Generative AI. Remote role with mid level experience requirements.",1160000,5
JOB10402,Business Analyst,Oracle,Bangalore,India,Mid Level,Full Time,Remote,480000,660000,INR,2025-03-07,IT Services,1000+,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,4,Bachelor's,"Seeking a Business Analyst to support IT Services projects. Key skills include Python, SQL, Excel, Tableau, AWS, Statistics. Remote role with mid level experience requirements.",570000,6
JOB10727,Data Analyst,NVIDIA,Mumbai,India,Senior,Full Time,Remote,610000,760000,INR,2025-07-23,IT Services,1000+,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,10,Master's,"Seeking a Data Analyst to support IT Services projects. Key skills include Python, SQL, Excel, Deep Learning, GCP, Statistics. Remote role with senior experience requirements.",685000,6
JOB11518,Business Analyst,Persistent Systems,Pune,India,Mid Level,Full Time,On-site,620000,840000,CAD,2025-02-13,Telecommunications,1000+,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,4,Bachelor's,"Seeking a Business Analyst to support Telecommunications projects. Key skills include Python, SQL, Excel, Machine Learning, Statistics. On-site role with mid level experience requirements.",730000,5
JOB10437,Data Analyst,Wipro,Hyderabad,India,Mid Level,Full Time,On-site,590000,760000,INR,2026-07-10,Education,501-1000,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,5,MBA,"Seeking a Data Analyst to support Education projects. Key skills include SQL, Excel, Tableau, Deep Learning, Azure. On-site role with mid level experience requirements.",675000,5
JOB10260,Data Analyst,Capgemini,Noida,India,Entry Level,Internship,On-site,430000,590000,INR,2026-01-15,IT Services,1000+,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,2,Bachelor's,"Seeking a Data Analyst to support IT Services projects. Key skills include Python, SQL, Tableau, AWS, Statistics. On-site role with entry level experience requirements.",510000,5
JOB10836,Machine Learning Engineer,TCS,Bangalore,India,Mid Level,Full Time,On-site,1080000,1390000,GBP,2025-04-11,Technology,Unknown,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,5,Bachelor's,"Seeking a Machine Learning Engineer to support Technology projects. Key skills include SQL, Power BI, Machine Learning, TensorFlow, GCP, Statistics. On-site role with mid level experience requirements.",1235000,6
JOB10010,Bi Analyst,Tech Mahindra,Hyderabad,India,Entry Level,Internship,On-site,470000,660000,SGD,2026-08-10,Technology,1000+,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,0,Bachelor's,"Seeking a BI Analyst to support Technology projects. Key skills include SQL, Power BI, Excel, Tableau, AWS, Statistics, Generative AI. On-site role with entry level experience requirements.",565000,7
JOB11936,Ml Engineer,LTIMindtree,Pune,India,Mid Level,Full Time,Remote,1120000,1390000,USD,2025-11-11,Consulting,501-1000,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,2,Diploma,"Seeking a ML Engineer to support Consulting projects. Key skills include Python, SQL, Power BI, Excel, Machine Learning, Deep Learning, TensorFlow. Remote role with mid level experience requirements.",1255000,9
JOB10133,Data Analyst,Cognizant,Chennai,India,Mid Level,Full Time,Remote,600000,720000,USD,2025-12-10,IT Services,1000+,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,5,Master's,"Seeking a Data Analyst to support IT Services projects. Key skills include Python, SQL, Power BI, Excel, AWS, Azure, Statistics. Remote role with mid level experience requirements.",660000,7
JOB10837,Ai/Ml Intern,Amazon,Kolkata,India,Senior,Full Time,Hybrid,290000,430000,INR,2026-07-26,Consulting,1-50,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,6,Bachelor's,"Seeking a AI/ML Intern to support Consulting projects. Key skills include Python, Power BI, Machine Learning, PyTorch, AWS. Hybrid role with senior experience requirements.",360000,5
JOB11715,Data Analyst,IBM,Chennai,India,Mid Level,Full Time,Remote,480000,680000,GBP,2025-01-27,Consulting,201-500,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,3,MBA,"Seeking a Data Analyst to support Consulting projects. Key skills include Python, SQL, Power BI, Excel, AWS, Statistics, NLP. Remote role with mid level experience requirements.",580000,7
JOB11684,Ml Engineer,Amazon,Chennai,India,Mid Level,Contract,Hybrid,920000,1180000,AUD,2025-11-15,E-commerce,501-1000,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,3,PhD,"Seeking a ML Engineer to support E-commerce projects. Key skills include Python, Excel, Machine Learning, Deep Learning, AWS, Statistics, Generative AI. Hybrid role with mid level experience requirements.",1050000,7
JOB11149,Business Analyst,Oracle,Bangalore,Australia,Mid Level,Full Time,Remote,600000,760000,INR,2026-04-09,Telecommunications,1000+,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,3,Bachelor's,"Seeking a Business Analyst to support Telecommunications projects. Key skills include Python, SQL, Excel, Tableau, TensorFlow, AWS, Statistics. Remote role with mid level experience requirements.",680000,8
JOB10293,Ml Engineer,SAP,Mumbai,Germany,Mid Level,Full Time,Remote,820000,1020000,INR,2025-12-09,IT Services,201-500,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,4,Master's,"Seeking a ML Engineer to support IT Services projects. Key skills include Python, Machine Learning, Generative AI. Remote role with mid level experience requirements.",920000,3
JOB10397,Business Analyst,Genpact,Bangalore,India,Senior,Full Time,Hybrid,650000,810000,INR,2025-06-03,Manufacturing,501-1000,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,10,Bachelor's,"Seeking a Business Analyst to support Manufacturing projects. Key skills include SQL, Power BI, Excel, Machine Learning, TensorFlow, Statistics. Hybrid role with senior experience requirements.",730000,6
JOB10330,Data Scientist,SAP,Delhi,India,Entry Level,Full Time,Remote,760000,990000,INR,2026-01-28,Technology,1000+,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,0,Master's,"Seeking a Data Scientist to support Technology projects. Key skills include Python, SQL, Deep Learning, AWS, GCP. Remote role with entry level experience requirements.",875000,5
JOB10799,Bi Analyst,Genpact,Pune,Singapore,Mid Level,Internship,Hybrid,630000,740000,INR,2026-02-04,Finance,201-500,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,4,MBA,"Seeking a BI Analyst to support Finance projects. Key skills include Python, SQL, Power BI, Excel, Machine Learning, TensorFlow, Azure. Hybrid role with mid level experience requirements.",685000,8
JOB11957,Data Engineer,LTIMindtree,Bangalore,Singapore,Mid Level,Full Time,On-site,880000,1170000,INR,2026-07-03,Consulting,501-1000,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,5,Bachelor's,"Seeking a Data Engineer to support Consulting projects. Key skills include Python, SQL, Power BI, Excel, Azure, Statistics. On-site role with mid level experience requirements.",1025000,6
JOB11722,Data Analyst,Tech Mahindra,Gurgaon,India,Mid Level,Full Time,On-site,590000,790000,INR,2025-03-15,IT Services,1-50,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,5,Bachelor's,"Seeking a Data Analyst to support IT Services projects. Key skills include SQL, Excel, Deep Learning, TensorFlow, AWS, Azure, Statistics. On-site role with mid level experience requirements.",690000,7
JOB10233,Ai Engineer,Wipro,Kolkata,India,Mid Level,Full Time,Hybrid,1260000,1560000,INR,2025-03-23,Technology,1000+,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,4,Master's,"Seeking a AI Engineer to support Technology projects. Key skills include Python, SQL, Machine Learning, Deep Learning, Statistics, Generative AI. Hybrid role with mid level experience requirements.",1410000,6
JOB11893,Ml Engineer,JPMorgan Chase,Bangalore,India,Lead,Full Time,On-site,1230000,1430000,INR,2025-06-08,IT Services,1000+,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,8,Master's,"Seeking a ML Engineer to support IT Services projects. Key skills include Python, SQL, Machine Learning, Deep Learning, TensorFlow, AWS, Azure. On-site role with lead experience requirements.",1330000,9
JOB10712,Data Engineer,LTIMindtree,Hyderabad,India,Entry Level,Internship,On-site,720000,1020000,INR,2025-09-17,IT Services,1000+,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,1,Bachelor's,"Seeking a Data Engineer to support IT Services projects. Key skills include Python, SQL, Power BI, Excel, Tableau, TensorFlow, AWS. On-site role with entry level experience requirements.",870000,8
JOB10545,Data Engineer,Wipro,Pune,India,Entry Level,Full Time,Hybrid,700000,920000,USD,2026-01-27,IT Services,1000+,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,2,Bachelor's,"Seeking a Data Engineer to support IT Services projects. Key skills include Python, SQL, Power BI, Excel, Tableau, AWS, Azure. Hybrid role with entry level experience requirements.",810000,8
JOB10386,Ml Engineer,Adobe,Mumbai,Canada,Mid Level,Full Time,Remote,840000,1210000,CAD,2025-09-16,IT Services,1000+,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,2,PhD,"Seeking a ML Engineer to support IT Services projects. Key skills include Excel, Tableau, Machine Learning, PyTorch, AWS, Statistics. Remote role with mid level experience requirements.",1025000,6
JOB10027,Data Analyst,Microsoft,Pune,India,Mid Level,Internship,Hybrid,480000,670000,INR,2026-02-07,IT Services,501-1000,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,5,Master's,"Seeking a Data Analyst to support IT Services projects. Key skills include Python, SQL, Excel, Machine Learning, AWS, Azure, Generative AI. Hybrid role with mid level experience requirements.",575000,7
JOB10681,Ml Engineer,Persistent Systems,Remote,USA,Mid Level,Full Time,On-site,800000,1180000,INR,2025-06-30,Education,201-500,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,2,Bachelor's,"Seeking a ML Engineer to support Education projects. Key skills include Python, SQL, Excel, Machine Learning, Statistics, NLP, Generative AI. On-site role with mid level experience requirements.",990000,7
JOB10501,Bi Analyst,SAP,Pune,India,Entry Level,Full Time,On-site,470000,630000,INR,2025-02-08,Consulting,51-200,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,0,Bachelor's,"Seeking a BI Analyst to support Consulting projects. Key skills include Python, SQL, Power BI, Excel, PyTorch, Statistics. On-site role with entry level experience requirements.",550000,6
JOB11194,Data Engineer,Persistent Systems,Pune,India,Entry Level,Full Time,On-site,590000,770000,INR,2026-08-05,IT Services,1-50,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,0,Master's,"Seeking a Data Engineer to support IT Services projects. Key skills include Python, SQL, Power BI, Tableau, TensorFlow, PyTorch, Azure. On-site role with entry level experience requirements.",680000,7
JOB11956,Ai/Ml Intern,Microsoft,Kolkata,India,Senior,Internship,Hybrid,350000,470000,INR,2026-03-18,IT Services,1000+,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,6,Bachelor's,"Seeking a AI/ML Intern to support IT Services projects. Key skills include Python, SQL, Power BI, Statistics, NLP. Hybrid role with senior experience requirements.",410000,5
JOB10713,Machine Learning Engineer,Microsoft,Noida,India,Mid Level,Contract,On-site,1070000,1390000,INR,2025-09-25,Telecommunications,501-1000,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,3,Master's,"Seeking a Machine Learning Engineer to support Telecommunications projects. Key skills include Python, Machine Learning, Deep Learning, Azure, Statistics, NLP. On-site role with mid level experience requirements.",1230000,6
JOB11125,Data Engineer,Microsoft,Hyderabad,India,Mid Level,Full Time,Hybrid,750000,950000,INR,2025-05-23,Telecommunications,501-1000,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,2,Bachelor's,"Seeking a Data Engineer to support Telecommunications projects. Key skills include Python, SQL, PyTorch, AWS. Hybrid role with mid level experience requirements.",850000,4
JOB10978,Data Analyst,Deloitte,Remote,India,Senior,Full Time,Remote,750000,900000,INR,2026-05-06,Education,1-50,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,9,Bachelor's,"Seeking a Data Analyst to support Education projects. Key skills include Python, Excel, Machine Learning, Deep Learning, Azure. Remote role with senior experience requirements.",825000,5
JOB10003,Bi Analyst,Siemens,Noida,India,Mid Level,Full Time,On-site,500000,710000,INR,2026-04-06,E-commerce,201-500,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4,Bachelor's,"Seeking a BI Analyst to support E-commerce projects. Key skills include Python, SQL, Excel, Tableau, Machine Learning, Deep Learning, TensorFlow. On-site role with mid level experience requirements.",605000,7
JOB10863,Ai Engineer,Amazon,Delhi,India,Mid Level,Full Time,On-site,1260000,1690000,INR,2026-04-21,E-commerce,51-200,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,5,Bachelor's,"Seeking a AI Engineer to support E-commerce projects. Key skills include Python, Power BI, Excel, Machine Learning, AWS, NLP. On-site role with mid level experience requirements.",1475000,6
JOB11695,Machine Learning Engineer,IBM,Remote,UK,Mid Level,Full Time,Hybrid,1070000,1300000,INR,2025-06-16,IT Services,501-1000,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,2,Bachelor's,"Seeking a Machine Learning Engineer to support IT Services projects. Key skills include Python, SQL, Excel, Tableau, Machine Learning, Deep Learning, TensorFlow. Hybrid role with mid level experience requirements.",1185000,10
JOB10479,Nlp Engineer,Capgemini,Kolkata,India,Entry Level,Full Time,Hybrid,760000,1090000,SGD,2025-06-24,Technology,501-1000,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,1,Master's,"Seeking a NLP Engineer to support Technology projects. Key skills include Python, SQL, Power BI, Deep Learning, PyTorch, NLP. Hybrid role with entry level experience requirements.",925000,6
JOB11598,Data Analyst,Walmart Global Tech,Noida,Singapore,Mid Level,Full Time,Hybrid,460000,580000,INR,2026-07-30,IT Services,Unknown,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,3,Bachelor's,"Seeking a Data Analyst to support IT Services projects. Key skills include SQL, Excel, Machine Learning, Generative AI. Hybrid role with mid level experience requirements.",520000,4
JOB10489,Ai/Ml Intern,Walmart Global Tech,Bangalore,USA,Mid Level,Internship,Hybrid,220000,330000,INR,2025-09-26,Technology,Unknown,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,3,Master's,"Seeking a AI/ML Intern to support Technology projects. Key skills include Python, SQL, Machine Learning, Generative AI. Hybrid role with mid level experience requirements.",275000,4
JOB11048,Data Analyst,Oracle,Mumbai,India,Mid Level,Full Time,Remote,630000,750000,AUD,2025-11-22,Technology,501-1000,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,2,Bachelor's,"Seeking a Data Analyst to support Technology projects. Key skills include SQL, Power BI, Tableau, Machine Learning, TensorFlow, Azure. Remote role with mid level experience requirements.",690000,6
JOB11160,Data Analyst,Cognizant,Delhi,Singapore,Mid Level,Full Time,On-site,620000,790000,INR,2026-03-09,Manufacturing,1000+,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,4,Master's,"Seeking a Data Analyst to support Manufacturing projects. Key skills include Python, SQL, Power BI, Excel, Machine Learning, Azure. On-site role with mid level experience requirements.",705000,6
JOB10631,Bi Analyst,Amazon,Ahmedabad,India,Entry Level,Full Time,Hybrid,400000,580000,INR,2025-06-11,Healthcare,201-500,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,0,PhD,"Seeking a BI Analyst to support Healthcare projects. Key skills include SQL, Tableau, PyTorch. Hybrid role with entry level experience requirements.",490000,3
JOB10406,Business Analyst,COGNIZANT,Pune,India,Lead,Full Time,Hybrid,980000,1120000,INR,2026-02-11,Manufacturing,501-1000,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,8,Bachelor's,"Seeking a Business Analyst to support Manufacturing projects. Key skills include Python, Power BI, Excel, PyTorch, Azure, GCP, Statistics. Hybrid role with lead experience requirements.",1050000,7
JOB11117,Data Analyst,Cisco,Bangalore,India,Mid Level,Contract,Remote,500000,670000,EUR,2026-03-07,IT Services,201-500,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,2,Master's,"Seeking a Data Analyst to support IT Services projects. Key skills include SQL, Power BI, Tableau, Machine Learning, Azure. Remote role with mid level experience requirements.",585000,5
JOB11840,Data Scientist,HCLTech,Kolkata,Germany,Mid Level,Full Time,Hybrid,850000,1170000,INR,2026-01-20,E-commerce,501-1000,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,5,Bachelor's,"Seeking a Data Scientist to support E-commerce projects. Key skills include Python, SQL, Tableau, Azure, GCP, Statistics. Hybrid role with mid level experience requirements.",1010000,6
JOB10821,Ml Engineer,Cognizant,Mumbai,India,Mid Level,Full Time,On-site,890000,1140000,USD,2025-12-31,IT Services,1000+,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,3,Bachelor's,"Seeking a ML Engineer to support IT Services projects. Key skills include Python, Excel, Tableau, Machine Learning, Statistics. On-site role with mid level experience requirements.",1015000,5
JOB10234,Ai Engineer,Walmart Global Tech,Delhi,India,Lead,Full Time,Remote,1740000,2140000,INR,2025-01-01,Telecommunications,1000+,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,14,Master's,"Seeking a AI Engineer to support Telecommunications projects. Key skills include Python, Power BI, Tableau, Machine Learning, PyTorch. Remote role with lead experience requirements.",1940000,5
JOB11429,Data Engineer,Accenture,Hyderabad,India,Senior,Full Time,Hybrid,1010000,1180000,CAD,2026-04-04,Education,1000+,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,6,Bachelor's,"Seeking a Data Engineer to support Education projects. Key skills include Python, SQL, Power BI, Tableau, Machine Learning, PyTorch, Azure. Hybrid role with senior experience requirements.",1095000,9
JOB10374,Bi Analyst,Siemens,Bangalore,India,Mid Level,Full Time,On-site,640000,760000,SGD,2026-02-26,Healthcare,1000+,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,3,MBA,"Seeking a BI Analyst to support Healthcare projects. Key skills include SQL, Power BI, Excel, TensorFlow, AWS, Statistics, Generative AI. On-site role with mid level experience requirements.",700000,7
JOB11376,Business Analyst,Infosys,Hyderabad,Canada,Entry Level,Contract,On-site,420000,620000,INR,2026-06-17,Healthcare,201-500,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,1,Bachelor's,"Seeking a Business Analyst to support Healthcare projects. Key skills include Python, SQL, Power BI, Excel. On-site role with entry level experience requirements.",520000,4
JOB10584,Data Scientist,NVIDIA,Bangalore,USA,Mid Level,Full Time,On-site,810000,1050000,USD,2025-05-29,Manufacturing,201-500,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,5,Diploma,"Seeking a Data Scientist to support Manufacturing projects. Key skills include Python, SQL, Excel, Machine Learning, Statistics. On-site role with mid level experience requirements.",930000,5
JOB11907,Ai/Ml Intern,Cisco,Mumbai,India,Mid Level,Full Time,On-site,220000,320000,INR,2025-06-04,Finance,1000+,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,4,Master's,"Seeking a AI/ML Intern to support Finance projects. Key skills include Python, SQL, Excel, Tableau, Machine Learning, AWS, GCP. On-site role with mid level experience requirements.",270000,10
JOB10212,Bi Analyst,Amazon,Ahmedabad,USA,Mid Level,Contract,Hybrid,640000,760000,AUD,2025-12-11,Technology,1000+,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,5,Bachelor's,"Seeking a BI Analyst to support Technology projects. Key skills include Python, SQL, Power BI, PyTorch. Hybrid role with mid level experience requirements.",700000,4
JOB11466,Data Analyst,JPMorgan Chase,Pune,India,Entry Level,Full Time,Hybrid,390000,570000,INR,2025-05-01,Manufacturing,501-1000,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,0,Bachelor's,"Seeking a Data Analyst to support Manufacturing projects. Key skills include SQL, Power BI, Excel, Tableau, PyTorch, Generative AI. Hybrid role with entry level experience requirements.",480000,6
